Local time,Ask,Bid,AskVolume,BidVolume
11.04.2022 02:44:40.042 GMT+0530,1.09126,1.09077,0.44,0.9
11.04.2022 02:44:52.885 GMT+0530,1.09127,1.09077,0.44,0.9
11.04.2022 02:44:59.599 GMT+0530,1.09129,1.09077,1.34,0.9
11.04.2022 02:45:00.596 GMT+0530,1.09128,1.09077,0.23,0.9
11.04.2022 02:45:00.697 GMT+0530,1.09122,1.09076,0.23,0.44
11.04.2022 02:45:00.817 GMT+0530,1.09123,1.09072,0.23,0.44
11.04.2022 02:45:00.868 GMT+0530,1.09118,1.09071,0.23,0.44
11.04.2022 02:45:00.919 GMT+0530,1.09117,1.09051,0.23,0.9
11.04.2022 02:45:01.021 GMT+0530,1.09119,1.0905,0.44,0.9
11.04.2022 02:45:01.254 GMT+0530,1.09119,1.09053,0.44,0.23
11.04.2022 02:45:01.356 GMT+0530,1.09126,1.09072,0.23,0.44
11.04.2022 02:45:35.992 GMT+0530,1.09125,1.09071,0.12,0.44
11.04.2022 02:45:40.656 GMT+0530,1.09127,1.09071,0.23,0.44
11.04.2022 02:45:47.328 GMT+0530,1.09127,1.09077,0.23,0.9
11.04.2022 02:45:47.392 GMT+0530,1.09127,1.09072,0.23,0.012
11.04.2022 02:45:47.537 GMT+0530,1.09126,1.09072,0.23,0.44
11.04.2022 02:45:52.120 GMT+0530,1.09127,1.09077,0.23,0.9
11.04.2022 02:45:57.762 GMT+0530,1.09127,1.09086,0.23,0.44
11.04.2022 02:46:05.252 GMT+0530,1.09127,1.09078,0.23,0.44
11.04.2022 02:46:05.304 GMT+0530,1.09105,1.09085,0.012,0.44
11.04.2022 02:46:05.406 GMT+0530,1.09106,1.09086,0.012,0.44
11.04.2022 02:46:05.457 GMT+0530,1.09106,1.09073,0.012,0.44
11.04.2022 02:46:05.508 GMT+0530,1.09105,1.09059,0.012,0.9
11.04.2022 02:46:05.559 GMT+0530,1.09106,1.09052,0.012,1.34
11.04.2022 02:46:05.610 GMT+0530,1.09105,1.09049,0.012,0.44
11.04.2022 02:46:15.103 GMT+0530,1.09106,1.09047,0.012,2.24
11.04.2022 02:46:15.257 GMT+0530,1.09105,1.09049,0.012,0.44
11.04.2022 02:46:19.606 GMT+0530,1.09106,1.09062,0.012,0.9
11.04.2022 02:46:20.729 GMT+0530,1.09103,1.09062,0.012,0.9
11.04.2022 02:46:22.399 GMT+0530,1.09103,1.09058,0.23,0.9
11.04.2022 02:46:26.785 GMT+0530,1.09095,1.09058,0.012,0.9
11.04.2022 02:46:35.486 GMT+0530,1.09095,1.09056,0.012,0.9
11.04.2022 02:46:35.588 GMT+0530,1.09095,1.09057,0.012,0.9
11.04.2022 02:46:42.109 GMT+0530,1.09097,1.09058,0.012,0.9
